stage_id	blocker	required_action	closure_effect	evidence_locator	status
fastq.build_contaminant_db	missing_environment_qa_stage	add behavioral image-QA scenario for contaminant database build inputs, outputs, and asset-lock expectations	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.build_rrna_db	missing_environment_qa_stage	add behavioral image-QA scenario for rRNA database build inputs, outputs, and asset-lock expectations	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.build_taxonomy_db	missing_environment_qa_stage	add behavioral image-QA scenario for taxonomy database build inputs, outputs, and asset-lock expectations	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.capture_provenance_snapshot	missing_environment_qa_stage	add behavioral image-QA scenario for pre-execution provenance snapshot reports	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.classify_layout	missing_environment_qa_stage	add behavioral image-QA scenario for read-layout classification reports	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.concatenate_lanes	missing_environment_qa_stage	add behavioral image-QA scenario for lane-manifest consolidation outputs and lineage reports	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.deinterleave_reads	missing_environment_qa_stage	add behavioral image-QA scenario for interleaved input splitting and paired-output expectations	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.demultiplex_reads	missing_environment_qa_stage	add behavioral image-QA scenario for barcode-manifest demultiplexing outputs and per-sample reports	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.detect_duplicates_premerge	missing_environment_qa_stage	add behavioral image-QA scenario for pre-merge duplicate-signal reports	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.detect_instrument_artifacts	missing_environment_qa_stage	add behavioral image-QA scenario for instrument-artifact detection reports	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.estimate_library_complexity_prealign	missing_environment_qa_stage	add behavioral image-QA scenario for prealignment library-complexity reports	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.interleave_reads	missing_environment_qa_stage	add behavioral image-QA scenario for mate synchronization and interleaved-output expectations	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.materialize_qc_manifest	missing_environment_qa_stage	add behavioral image-QA scenario for QC manifest aggregation outputs	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.normalize_read_names	missing_environment_qa_stage	add behavioral image-QA scenario for read-name rewrite outputs and sidecar mapping reports	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.prepare_adapter_bank	missing_environment_qa_stage	add behavioral image-QA scenario for adapter-bank hydration and asset-lock expectations	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.prepare_host_reference_bundle	missing_environment_qa_stage	add behavioral image-QA scenario for host-reference bundle hydration and asset-lock expectations	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.prepare_primer_bank	missing_environment_qa_stage	add behavioral image-QA scenario for primer-bank hydration and asset-lock expectations	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.index_reference	missing_environment_qa_stage	add behavioral image-QA scenario for governed reference index build backends	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.profile_read_lengths	missing_environment_qa_stage	add behavioral image-QA scenario for read-length profiling outputs	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.detect_adapters	missing_environment_qa_stage	add behavioral image-QA scenario for adapter detection reports	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.trim_terminal_damage	missing_environment_qa_stage	add behavioral image-QA scenario for damage-aware trimming route	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.normalize_primers	missing_environment_qa_stage	add behavioral image-QA scenario for primer normalization with locked primer bank	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.trim_polyg_tails	missing_environment_qa_stage	add behavioral image-QA scenario for PolyG/PolyX trimming on supported platform fixtures	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.deplete_rrna	missing_environment_qa_stage	add behavioral image-QA scenario for rRNA depletion with locked test database	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.remove_duplicates	missing_environment_qa_stage	add behavioral image-QA scenario for FASTQ duplicate removal outputs	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.filter_low_complexity	missing_environment_qa_stage	add behavioral image-QA scenario for low-complexity filtering thresholds	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.deplete_host	missing_environment_qa_stage	add behavioral image-QA scenario for host depletion with locked test index	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.deplete_reference_contaminants	missing_environment_qa_stage	add behavioral image-QA scenario for contaminant depletion with locked decoy index	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.profile_overrepresented_sequences	missing_environment_qa_stage	add behavioral image-QA scenario for overrepresented-sequence reports	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.remove_chimeras	missing_environment_qa_stage	add behavioral image-QA scenario for amplicon chimera removal route	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.infer_asvs	missing_environment_qa_stage	add behavioral image-QA scenario for DADA2 ASV inference with fixture manifest	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.cluster_otus	missing_environment_qa_stage	add behavioral image-QA scenario for OTU clustering with fixed identity policy	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.normalize_abundance	missing_environment_qa_stage	add behavioral image-QA scenario for abundance normalization outputs	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.repair_pairs	missing_environment_qa_stage	add behavioral image-QA scenario for mate reconciliation inputs, repaired outputs, and repair reports	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.subsample_reads	missing_environment_qa_stage	add behavioral image-QA scenario for deterministic subsampling outputs and benchmark-comparable reports	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
fastq.verify_assets	missing_environment_qa_stage	add behavioral image-QA scenario for asset-lock verification reports	blocks full admitted-stage image-QA closure	crates/bijux-dna-environment-qa/src/image_qa	tracked
