stage_id	tool_id	decision_mode	correctness_signal	result_ids	report_row_ids	corpus_ids	report_sections	row_statuses	score_status	truth_correctness_score	truth_correctness_basis	contract_correctness_score	contract_correctness_basis	retained_reads	dropped_reads	runtime_seconds	runtime_source	observed_memory_mb	declared_memory_mb	memory_source	failure_class	micro_execution_status	score_weight_coverage	score_total	evidence_paths	reason
fastq.cluster_otus	vsearch	single_tool_acceptance	output_contract	fastq:corpus-03-amplicon-mini:fastq.cluster_otus:sample-set:vsearch	fastq:corpus-03-amplicon-mini:fastq.cluster_otus:sample-set:vsearch	corpus-03-amplicon-mini	amplicon_interpretation	present	scored			1.000000	OTU clustering report materialized representatives and abundance outputs				not_available		8192.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.cluster_otus/report.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
fastq.correct_errors	bayeshammer	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.correct_errors:sample-set:bayeshammer	fastq:corpus-01-mini:fastq.correct_errors:sample-set:bayeshammer	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.correct_errors` / `bayeshammer`
fastq.correct_errors	lighter	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.correct_errors:sample-set:lighter	fastq:corpus-01-mini:fastq.correct_errors:sample-set:lighter	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.correct_errors` / `lighter`
fastq.correct_errors	musket	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.correct_errors:sample-set:musket	fastq:corpus-01-mini:fastq.correct_errors:sample-set:musket	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.correct_errors` / `musket`
fastq.correct_errors	rcorrector	multi_tool_ranking	output_contract	fastq:corpus-01-mini:fastq.correct_errors:sample-set:rcorrector	fastq:corpus-01-mini:fastq.correct_errors:sample-set:rcorrector	corpus-01-mini	read_cleanup	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.correct_errors` / `rcorrector`
fastq.deplete_host	bowtie2	single_tool_acceptance	output_contract	fastq:corpus-01-mini:fastq.deplete_host:sample-set:bowtie2	fastq:corpus-01-mini:fastq.deplete_host:sample-set:bowtie2	corpus-01-mini	contamination_screening	present	insufficient_evidence								not_applicable			not_applicable	insufficient_data	container_needed	0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.deplete_host` / `bowtie2`
fastq.deplete_reference_contaminants	bowtie2	single_tool_acceptance	output_contract	fastq:corpus-01-mini:fastq.deplete_reference_contaminants:sample-set:bowtie2	fastq:corpus-01-mini:fastq.deplete_reference_contaminants:sample-set:bowtie2	corpus-01-mini	contamination_screening	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.deplete_reference_contaminants` / `bowtie2`
fastq.deplete_rrna	sortmerna	single_tool_acceptance	output_contract	fastq:corpus-01-mini:fastq.deplete_rrna:sample-set:sortmerna	fastq:corpus-01-mini:fastq.deplete_rrna:sample-set:sortmerna	corpus-01-mini	contamination_screening	present	insufficient_evidence								not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real FASTQ smoke or micro evidence row was found for `fastq.deplete_rrna` / `sortmerna`
fastq.detect_adapters	fastqc	single_tool_acceptance	output_contract	fastq:corpus-01-mini:fastq.detect_adapters:sample-set:fastqc	fastq:corpus-01-mini:fastq.detect_adapters:sample-set:fastqc	corpus-01-mini	quality_profiling	present	scored	0.500000	detected_case_fraction	1.000000	adapter detection summary keeps the governed case-count surface complete				not_available		8192.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.detect_adapters/adapters.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
fastq.detect_duplicates_premerge	bijux_dna	single_tool_acceptance	output_contract	fastq:corpus-01-mini:fastq.detect_duplicates_premerge:sample-set:bijux_dna	fastq:corpus-01-mini:fastq.detect_duplicates_premerge:sample-set:bijux_dna	corpus-01-mini	quality_profiling	present	scored			1.000000	duplicate-signal smoke report covers both duplicate and distinct pair cases				not_available		1024.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/fastq.detect_duplicates_premerge/duplicates.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
